"#""hg38.knownGene.name""",hg38.knownGene.strand,hg38.knownGene.exonCount,hg38.knownGene.proteinID,geneSymbol,refseq,description
ENST00000515026.1,+,6,,H2AZ1-DT,,H2AZ1-DT (from geneSymbol)
ENST00000672911.1,+,9,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000672328.1,+,7,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000672285.1,+,7,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000671960.1,+,7,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000673381.2,+,6,,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000673018.1,+,7,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000683179.1,+,6,,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000684019.1,+,2,,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000638719.4,-,3,P0DJR0,GIMD1,NM_001195138,"Homo sapiens GIMAP family P-loop NTPase domain containing 1 (GIMD1), mRNA. (from RefSeq NM_001195138)"
ENST00000507153.2,-,2,P0DJR0,GIMD1,,Belongs to the IAN GTP-binding protein family. (from UniProt P0DJR0)
ENST00000667859.1,+,3,,LINC02173,,long intergenic non-protein coding RNA 2173 (from HGNC LINC02173)
ENST00000654498.1,+,4,,LINC02173,,long intergenic non-protein coding RNA 2173 (from HGNC LINC02173)
ENST00000504132.1,+,4,,LINC02173,NR_147150,"Homo sapiens long intergenic non-protein coding RNA 2173 (LINC02173), long non-coding RNA. (from RefSeq NR_147150)"
ENST00000650850.1,+,11,,ENSG00000286147,,ENSG00000286147 (from geneSymbol)
